time,value
2025-09-16T09:03:44.539534476Z,"{""lat"":-37.64614226161767,""lon"":144.90693584848663}"
2025-09-16T09:03:45.532503283Z,"{""lat"":-37.64615090213569,""lon"":144.90693498293226}"
2025-09-16T09:03:46.532056937Z,"{""lat"":-37.646161951363645,""lon"":144.90692137501244}"
2025-09-16T09:03:47.533559736Z,"{""lat"":-37.64617379836917,""lon"":144.90691169625438}"
2025-09-16T09:03:48.536487276Z,"{""lat"":-37.646172703412866,""lon"":144.90690985003445}"
2025-09-16T09:03:49.541783807Z,"{""lat"":-37.64617240951397,""lon"":144.90691525576213}"
2025-09-16T09:03:50.538380118Z,"{""lat"":-37.646174438607346,""lon"":144.90691265553}"
2025-09-16T09:03:51.540673792Z,"{""lat"":-37.64617427939971,""lon"":144.9069124589972}"
2025-09-16T09:03:52.54154475Z,"{""lat"":-37.64617760391758,""lon"":144.90690793923363}"
2025-09-16T09:03:53.53945689Z,"{""lat"":-37.64617760391772,""lon"":144.90690793923363}"
2025-09-16T09:03:54.539410823Z,"{""lat"":-37.64618264925647,""lon"":144.90690562495948}"
2025-09-16T09:03:55.539908232Z,"{""lat"":-37.64617974917374,""lon"":144.90691445970074}"
2025-09-16T09:03:56.541446813Z,"{""lat"":-37.64617478536946,""lon"":144.90690855463518}"
2025-09-16T09:03:57.540926615Z,"{""lat"":-37.64616754113199,""lon"":144.90690656003733}"
2025-09-16T09:03:58.540843681Z,"{""lat"":-37.646170741306584,""lon"":144.906902795223}"
2025-09-16T09:03:59.543645823Z,"{""lat"":-37.64617193238642,""lon"":144.90691318829622}"
2025-09-16T09:04:00.545577659Z,"{""lat"":-37.64617620042914,""lon"":144.90692252759325}"
2025-09-16T09:04:01.545487502Z,"{""lat"":-37.64617759637021,""lon"":144.90692366135866}"
2025-09-16T09:04:02.546495934Z,"{""lat"":-37.646179330693094,""lon"":144.90692372409268}"
2025-09-16T09:04:03.545569594Z,"{""lat"":-37.646178428541994,""lon"":144.90692172832613}"
2025-09-16T09:04:04.54959181Z,"{""lat"":-37.646188250877636,""lon"":144.90692152275966}"
